,Product,Price,Rating,No. of Ratings,No. of Reviews,images
104,"APPLE iPhone 14 Plus (Purple, 512 GB)",105999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/0/t/-original-imaghxa5rgcv5enm.jpeg?q=70
105,"APPLE iPhone 13 Pro (Silver, 1 TB)",144999,4.6,1369,119,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/a/e/g/iphone-13-pro-mlvw3hn-a-apple-original-imag6vpcvspnzyfy.jpeg?q=70
106,"APPLE iPhone 12 Pro (Silver, 512 GB)",105999,4.5,1246,92,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/b/v/a/apple-iphone-12-pro-dummyapplefsn-original-imafwgbr45csnczy.jpeg?q=70
107,"APPLE iPhone SE (Red, 64 GB)",28990,4.5,153773,12062,https://rukminim1.flixcart.com/image/312/312/k9loccw0/mobile/6/8/g/apple-iphone-se-mxvv2hn-a-original-imafrcqmfh4zznmq.jpeg?q=70
108,"APPLE iPhone 13 Pro (Gold, 512 GB)",125999,4.6,1369,119,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/z/h/v/iphone-13-pro-mlvq3hn-a-apple-original-imag6vpc6mx3zwhz.jpeg?q=70
109,"APPLE iPhone 7 (Black, 32 GB)",31500,4.5,95080,9193,https://rukminim1.flixcart.com/image/312/312/k12go7k0/mobile/7/e/e/apple-iphone-7-mn8x2hn-a-original-imafkqcqhzxuvcpd.jpeg?q=70
110,"APPLE iPhone 14 (Midnight, 512 GB)",96999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/e/e/-original-imaghx9q5rvcdghy.jpeg?q=70
111,"APPLE iPhone 13 Pro (Sierra Blue, 1 TB)",144999,4.6,1369,119,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/e/l/i/iphone-13-pro-mlw03hn-a-apple-original-imag6vpb2kj4dcp5.jpeg?q=70
112,"APPLE iPhone 11 Pro Max (Midnight Green, 64 GB)",90999,4.7,1094,99,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/z/a/f/iphone-11-pro-max-256-u-mwhm2hn-a-apple-0-original-imafkg2ftc5cze5n.jpeg?q=70
113,"APPLE iPhone 13 Pro Max (Silver, 1 TB)",155999,4.6,1786,174,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/c/g/4/iphone-13-pro-max-mlll3hn-a-apple-original-imag6vpg3r7dyvhm.jpeg?q=70
114,"APPLE iPhone 13 Pro Max (Silver, 512 GB)",134999,4.6,1786,174,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/c/g/4/iphone-13-pro-max-mlll3hn-a-apple-original-imag6vpg3r7dyvhm.jpeg?q=70
115,"APPLE iPhone 14 ((PRODUCT)RED, 512 GB)",96999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/k/o/-original-imaghx9qtwbnhwvy.jpeg?q=70
116,"APPLE iPhone 13 Pro Max (Alpine Green, 1 TB)",155999,4.6,1786,174,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/2/g/r/-original-imagca5kqvhuscnv.jpeg?q=70
117,"APPLE iPhone 12 (White, 256 GB)",66999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/j/f/9/apple-iphone-12-dummyapplefsn-original-imafwg8dkyh2zgrh.jpeg?q=70
118,"APPLE iPhone 13 Pro (Graphite, 256 GB)",129900,4.6,1369,119,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/m/t/r/iphone-13-pro-mlvv3hn-a-apple-original-imag6vpb7zg6bnvb.jpeg?q=70
119,"APPLE iPhone 12 Pro (Graphite, 512 GB)",105999,4.5,1246,92,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/u/q/d/apple-iphone-12-pro-dummyapplefsn-original-imafwgbrbzjgug4j.jpeg?q=70
